Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Overall_Score,Feedback
340,5,2,7,6,9,2,1,8,5.0,"Average experience, assignments were manageable."
253,6,5,8,6,2,1,2,9,4.875,I struggled to understand the concepts.
680,7,7,6,5,4,2,3,1,4.375,Poor explanations and unclear assignments.
806,9,6,7,1,5,9,4,6,5.875,"Average experience, assignments were manageable."
632,8,10,8,4,6,6,9,9,7.5,"Some topics were clear, others a bit confusing."
832,7,2,7,8,3,5,1,4,4.625,Poor explanations and unclear assignments.
772,9,3,5,2,10,3,8,1,5.125,"Average experience, assignments were manageable."
961,9,8,7,4,4,3,3,10,6.0,"Average experience, assignments were manageable."
814,6,5,8,6,4,4,7,9,6.125,The course was okay but could be improved in some areas.
863,5,9,4,7,9,4,4,5,5.875,The course was okay but could be improved in some areas.
576,10,3,8,6,6,3,6,9,6.375,The course was okay but could be improved in some areas.
702,8,4,7,1,2,1,8,8,4.875,I struggled to understand the concepts.
541,5,4,4,2,2,7,8,1,4.125,Poor explanations and unclear assignments.
552,5,6,7,2,7,4,4,2,4.625,Poor explanations and unclear assignments.
510,6,7,8,3,4,7,7,6,6.0,"Some topics were clear, others a bit confusing."
159,7,7,6,6,3,9,3,1,5.25,"Average experience, assignments were manageable."
223,9,10,4,5,7,10,10,6,7.625,"Some topics were clear, others a bit confusing."
807,8,3,4,2,2,4,6,1,3.75,Poor explanations and unclear assignments.
525,9,9,4,3,5,5,9,2,5.75,"Some topics were clear, others a bit confusing."
799,5,6,5,4,2,1,1,7,3.875,I struggled to understand the concepts.
24,9,10,6,10,2,10,1,9,7.125,"Some topics were clear, others a bit confusing."
509,8,2,7,5,2,3,4,4,4.375,The course was difficult to follow and needs improvement.
797,9,10,4,10,9,2,10,7,7.625,The course was okay but could be improved in some areas.
418,8,8,6,7,9,5,2,8,6.625,"Some topics were clear, others a bit confusing."
48,5,5,4,2,1,10,10,9,5.75,The course was okay but could be improved in some areas.
657,9,5,7,3,2,8,10,6,6.25,The course was okay but could be improved in some areas.
864,9,8,5,2,3,9,2,8,5.75,"Average experience, assignments were manageable."
861,5,6,4,5,4,4,6,6,5.0,The course was okay but could be improved in some areas.
118,9,10,7,7,4,6,9,1,6.625,The course was okay but could be improved in some areas.
387,7,3,8,1,6,8,6,8,5.875,"Some topics were clear, others a bit confusing."
282,5,6,7,3,8,1,1,9,5.0,"Some topics were clear, others a bit confusing."
503,8,6,6,3,3,6,4,10,5.75,The course was okay but could be improved in some areas.
934,5,6,4,6,10,3,4,10,6.0,The course was okay but could be improved in some areas.
781,8,3,4,5,1,8,10,5,5.5,"Some topics were clear, others a bit confusing."
898,10,10,4,3,5,4,2,1,4.875,I struggled to understand the concepts.
474,8,3,7,6,4,3,7,7,5.625,"Some topics were clear, others a bit confusing."
704,9,9,8,6,8,4,8,5,7.125,"Average experience, assignments were manageable."
977,9,5,4,4,6,3,1,9,5.125,The course was okay but could be improved in some areas.
454,9,6,6,1,10,8,10,7,7.125,"Average experience, assignments were manageable."
295,5,7,6,3,1,7,2,9,5.0,"Some topics were clear, others a bit confusing."
35,10,6,4,5,6,2,3,1,4.625,I struggled to understand the concepts.
304,9,9,4,6,5,1,7,2,5.375,The course was okay but could be improved in some areas.
56,6,9,6,8,9,6,2,4,6.25,The course was okay but could be improved in some areas.
922,8,10,7,4,5,9,3,5,6.375,"Some topics were clear, others a bit confusing."
569,10,7,6,9,2,6,2,5,5.875,"Some topics were clear, others a bit confusing."
186,6,4,4,4,6,9,10,10,6.625,The course was okay but could be improved in some areas.
258,7,2,7,2,7,2,6,10,5.375,"Some topics were clear, others a bit confusing."
560,8,7,8,3,8,7,4,8,6.625,The course was okay but could be improved in some areas.
621,10,4,5,1,5,10,1,10,5.75,The course was okay but could be improved in some areas.
568,10,7,4,6,10,8,10,8,7.875,"Some topics were clear, others a bit confusing."
393,6,9,8,7,5,8,1,4,6.0,The course was okay but could be improved in some areas.
12,8,10,7,2,8,9,6,6,7.0,The course was okay but could be improved in some areas.
798,7,2,8,7,10,5,3,5,5.875,"Some topics were clear, others a bit confusing."
740,8,10,7,3,2,10,10,1,6.375,"Some topics were clear, others a bit confusing."
184,10,9,8,6,4,8,8,9,7.75,"Average experience, assignments were manageable."
410,7,2,5,2,6,6,3,10,5.125,"Some topics were clear, others a bit confusing."
480,10,6,7,8,5,3,1,5,5.625,"Average experience, assignments were manageable."
84,7,4,6,10,7,7,8,9,7.25,"Some topics were clear, others a bit confusing."
89,9,9,4,5,1,2,3,9,5.25,"Average experience, assignments were manageable."
763,6,9,6,7,6,10,2,5,6.375,"Some topics were clear, others a bit confusing."
86,7,8,6,8,3,10,2,7,6.375,"Average experience, assignments were manageable."
867,6,4,6,4,2,7,5,3,4.625,The course was difficult to follow and needs improvement.
248,6,6,4,6,6,6,2,3,4.875,Poor explanations and unclear assignments.
751,7,3,8,10,2,7,2,6,5.625,The course was okay but could be improved in some areas.
522,6,9,8,10,9,5,3,6,7.0,"Some topics were clear, others a bit confusing."
696,5,5,4,9,3,1,8,6,5.125,"Some topics were clear, others a bit confusing."
274,8,2,4,7,10,8,5,8,6.5,"Average experience, assignments were manageable."
921,9,7,5,10,10,9,6,4,7.5,"Average experience, assignments were manageable."
957,6,2,7,8,5,9,5,4,5.75,"Average experience, assignments were manageable."
88,9,4,4,9,9,9,7,10,7.625,"Average experience, assignments were manageable."
149,5,6,5,1,8,9,7,8,6.125,"Average experience, assignments were manageable."
737,7,9,4,5,5,2,2,1,4.375,The course was difficult to follow and needs improvement.
891,7,2,4,9,6,9,7,9,6.625,"Some topics were clear, others a bit confusing."
1,9,6,8,7,6,5,3,10,6.75,"Some topics were clear, others a bit confusing."
868,7,9,7,2,6,2,9,4,5.75,"Some topics were clear, others a bit confusing."
895,5,5,7,7,2,1,8,9,5.5,"Average experience, assignments were manageable."
638,9,10,8,2,1,1,4,8,5.375,The course was okay but could be improved in some areas.
707,5,6,6,5,1,9,6,9,5.875,The course was okay but could be improved in some areas.
432,9,9,6,8,2,3,2,4,5.375,"Some topics were clear, others a bit confusing."
988,7,4,6,7,6,9,7,1,5.875,"Average experience, assignments were manageable."
742,7,7,8,2,1,1,8,1,4.375,Poor explanations and unclear assignments.
730,6,5,4,5,6,6,7,2,5.125,The course was okay but could be improved in some areas.
321,5,7,6,2,3,5,3,5,4.5,The course was difficult to follow and needs improvement.
904,8,5,8,9,7,9,8,6,7.5,The course was okay but could be improved in some areas.
171,6,10,4,6,1,6,2,3,4.75,Poor explanations and unclear assignments.
695,10,4,4,1,5,8,7,1,5.0,The course was okay but could be improved in some areas.
498,8,5,4,5,10,7,1,10,6.25,"Average experience, assignments were manageable."
446,7,8,5,10,10,2,5,9,7.0,The course was okay but could be improved in some areas.
982,9,10,7,5,6,6,1,5,6.125,"Average experience, assignments were manageable."
981,7,6,7,5,4,6,8,3,5.75,"Some topics were clear, others a bit confusing."
849,6,10,6,7,7,4,10,7,7.125,The course was okay but could be improved in some areas.
297,7,10,6,8,10,10,2,8,7.625,"Some topics were clear, others a bit confusing."
713,8,6,7,5,2,7,10,8,6.625,The course was okay but could be improved in some areas.
192,8,4,8,6,3,5,1,5,5.0,The course was okay but could be improved in some areas.
561,9,6,4,8,6,8,3,3,5.875,"Some topics were clear, others a bit confusing."
364,6,6,7,9,6,4,7,6,6.375,"Some topics were clear, others a bit confusing."
40,6,7,5,6,10,5,6,3,6.0,The course was okay but could be improved in some areas.
521,5,9,4,2,1,8,3,7,4.875,The course was difficult to follow and needs improvement.
201,8,2,8,9,8,8,9,4,7.0,"Average experience, assignments were manageable."
780,6,4,4,10,6,5,6,8,6.125,"Some topics were clear, others a bit confusing."
853,7,9,4,8,9,4,10,2,6.625,"Some topics were clear, others a bit confusing."
202,5,6,6,10,3,4,2,8,5.5,The course was okay but could be improved in some areas.
421,6,3,8,10,6,8,7,9,7.125,"Average experience, assignments were manageable."
671,9,8,6,10,10,7,7,8,8.125,Great teaching style and very engaging sessions.
334,5,9,4,3,8,10,4,2,5.625,"Average experience, assignments were manageable."
843,6,8,5,4,5,5,10,6,6.125,"Some topics were clear, others a bit confusing."
57,10,7,6,10,4,4,2,4,5.875,"Average experience, assignments were manageable."
353,6,7,5,3,6,6,7,5,5.625,The course was okay but could be improved in some areas.
681,7,2,7,5,2,1,3,7,4.25,The course was difficult to follow and needs improvement.
394,6,3,6,10,7,4,3,3,5.25,"Some topics were clear, others a bit confusing."
188,7,6,8,9,9,8,9,10,8.25,The course was excellent and very well structured.
641,5,10,6,7,4,2,5,4,5.375,"Average experience, assignments were manageable."
544,10,7,8,4,6,5,7,8,6.875,The course was okay but could be improved in some areas.
163,9,3,4,7,3,8,6,8,6.0,"Some topics were clear, others a bit confusing."
283,9,2,6,1,2,10,5,5,5.0,"Average experience, assignments were manageable."
820,6,5,4,9,2,5,10,7,6.0,"Some topics were clear, others a bit confusing."
254,6,6,6,8,9,4,4,8,6.375,"Some topics were clear, others a bit confusing."
221,9,6,8,1,8,2,5,6,5.625,"Average experience, assignments were manageable."
736,8,2,8,8,2,6,5,4,5.375,The course was okay but could be improved in some areas.
280,9,10,4,7,7,3,5,4,6.125,"Average experience, assignments were manageable."
976,5,2,5,5,7,9,4,3,5.0,The course was okay but could be improved in some areas.
481,9,10,8,9,1,3,1,9,6.25,"Some topics were clear, others a bit confusing."
80,7,6,4,1,5,6,1,8,4.75,The course was difficult to follow and needs improvement.
473,10,10,7,5,2,6,10,5,6.875,The course was okay but could be improved in some areas.
762,10,7,5,7,8,9,3,4,6.625,"Some topics were clear, others a bit confusing."
385,5,2,6,7,3,2,10,1,4.5,Poor explanations and unclear assignments.
195,9,7,5,5,10,10,5,1,6.5,"Some topics were clear, others a bit confusing."
144,8,6,5,6,3,8,2,6,5.5,The course was okay but could be improved in some areas.
767,10,10,8,3,9,6,4,8,7.25,"Average experience, assignments were manageable."
300,6,8,4,5,5,9,5,4,5.75,The course was okay but could be improved in some areas.
580,5,2,5,8,6,5,4,9,5.5,"Average experience, assignments were manageable."
216,5,9,8,2,4,8,9,10,6.875,"Average experience, assignments were manageable."
583,9,3,4,6,5,3,8,7,5.625,"Average experience, assignments were manageable."
881,7,9,5,9,4,5,4,8,6.375,"Some topics were clear, others a bit confusing."
488,8,8,6,9,7,4,6,1,6.125,"Some topics were clear, others a bit confusing."
892,5,8,8,9,6,9,10,6,7.625,The course was okay but could be improved in some areas.
152,7,2,5,1,5,10,5,6,5.125,"Average experience, assignments were manageable."
925,7,10,6,7,9,10,1,3,6.625,"Some topics were clear, others a bit confusing."
729,9,9,8,7,5,4,5,5,6.5,"Some topics were clear, others a bit confusing."
647,5,5,8,8,9,6,9,8,7.25,The course was okay but could be improved in some areas.
686,8,6,5,5,2,6,5,8,5.625,"Some topics were clear, others a bit confusing."
93,9,10,6,4,9,6,7,8,7.375,The course was okay but could be improved in some areas.
485,8,4,7,1,4,7,1,4,4.5,I struggled to understand the concepts.
59,5,8,5,6,10,3,4,10,6.375,"Average experience, assignments were manageable."
907,10,4,7,6,1,2,5,1,4.5,The course was difficult to follow and needs improvement.
158,10,6,5,6,2,10,3,8,6.25,The course was okay but could be improved in some areas.
955,10,4,4,1,10,1,10,10,6.25,"Average experience, assignments were manageable."
758,8,3,7,7,9,6,7,5,6.5,The course was okay but could be improved in some areas.
605,6,4,4,4,7,5,5,2,4.625,Poor explanations and unclear assignments.
475,10,6,4,9,3,1,6,7,5.75,The course was okay but could be improved in some areas.
154,9,7,4,8,2,6,3,9,6.0,"Average experience, assignments were manageable."
79,6,4,6,6,6,4,9,10,6.375,"Average experience, assignments were manageable."
36,10,6,5,2,1,9,9,6,6.0,"Average experience, assignments were manageable."
562,6,3,6,7,8,7,4,1,5.25,The course was okay but could be improved in some areas.
231,10,7,8,1,3,3,3,3,4.75,Poor explanations and unclear assignments.
869,8,7,6,2,9,4,1,7,5.5,The course was okay but could be improved in some areas.
608,7,4,6,5,4,7,8,7,6.0,"Some topics were clear, others a bit confusing."
846,10,7,7,4,7,10,7,1,6.625,The course was okay but could be improved in some areas.
542,10,4,7,7,2,2,5,9,5.75,"Some topics were clear, others a bit confusing."
941,9,3,7,2,9,7,3,1,5.125,The course was okay but could be improved in some areas.
919,10,2,8,5,6,3,8,5,5.875,"Some topics were clear, others a bit confusing."
352,6,2,6,3,5,3,8,6,4.875,I struggled to understand the concepts.
839,9,2,5,10,4,4,9,1,5.5,"Some topics were clear, others a bit confusing."
266,8,8,5,6,6,8,2,2,5.625,"Some topics were clear, others a bit confusing."
298,8,4,8,9,7,1,7,3,5.875,The course was okay but could be improved in some areas.
929,10,2,6,1,1,9,9,7,5.625,The course was okay but could be improved in some areas.
574,6,4,8,5,9,5,7,10,6.75,"Average experience, assignments were manageable."
250,5,7,7,3,1,6,3,1,4.125,I struggled to understand the concepts.
616,9,8,6,9,6,3,5,8,6.75,The course was okay but could be improved in some areas.
164,8,5,7,10,8,9,10,1,7.25,The course was okay but could be improved in some areas.
827,6,3,4,9,7,8,7,6,6.25,"Average experience, assignments were manageable."
228,7,6,6,1,6,6,6,9,5.875,The course was okay but could be improved in some areas.
787,10,10,5,10,1,9,3,8,7.0,"Average experience, assignments were manageable."
317,8,8,4,1,10,10,9,1,6.375,The course was okay but could be improved in some areas.
110,9,6,4,1,4,7,9,5,5.625,The course was okay but could be improved in some areas.
165,6,2,6,2,2,10,2,2,4.0,The course was difficult to follow and needs improvement.
701,5,9,7,1,9,9,1,9,6.25,"Average experience, assignments were manageable."
362,7,9,6,7,4,8,1,2,5.5,"Some topics were clear, others a bit confusing."
890,8,7,5,3,9,1,4,5,5.25,"Average experience, assignments were manageable."
728,10,9,4,8,5,2,3,10,6.375,"Average experience, assignments were manageable."
466,9,8,5,5,6,2,10,4,6.125,"Some topics were clear, others a bit confusing."
709,9,3,6,4,4,8,10,1,5.625,"Average experience, assignments were manageable."
482,10,3,4,3,10,1,8,5,5.5,The course was okay but could be improved in some areas.
406,9,10,6,1,6,1,9,2,5.5,The course was okay but could be improved in some areas.
66,8,5,8,7,6,1,9,9,6.625,"Average experience, assignments were manageable."
862,6,5,6,5,7,2,10,8,6.125,"Average experience, assignments were manageable."
61,9,8,6,5,3,10,6,6,6.625,"Some topics were clear, others a bit confusing."
111,7,9,7,1,10,10,3,10,7.125,The course was okay but could be improved in some areas.
147,6,8,4,6,9,6,8,7,6.75,The course was okay but could be improved in some areas.
211,7,4,4,3,7,8,7,10,6.25,"Average experience, assignments were manageable."
996,6,5,6,10,8,7,8,4,6.75,"Some topics were clear, others a bit confusing."
459,8,5,8,6,6,1,8,4,5.75,"Some topics were clear, others a bit confusing."
81,5,5,6,5,7,3,9,5,5.625,The course was okay but could be improved in some areas.
288,5,9,6,9,4,4,2,6,5.625,The course was okay but could be improved in some areas.
6,7,10,8,3,3,4,1,2,4.75,Poor explanations and unclear assignments.
547,6,6,8,5,1,2,2,8,4.75,Poor explanations and unclear assignments.
30,6,2,7,5,1,10,9,10,6.25,"Average experience, assignments were manageable."
445,9,4,4,2,4,8,1,6,4.75,I struggled to understand the concepts.
591,6,9,8,5,10,6,2,10,7.0,"Average experience, assignments were manageable."
770,10,10,5,7,10,7,7,10,8.25,The course was excellent and very well structured.
484,9,6,8,10,3,2,8,4,6.25,"Average experience, assignments were manageable."
180,8,4,4,1,6,9,6,1,4.875,I struggled to understand the concepts.
946,5,5,5,6,1,3,10,5,5.0,"Some topics were clear, others a bit confusing."
901,9,8,6,1,2,9,8,2,5.625,"Average experience, assignments were manageable."
517,10,5,7,7,5,10,6,5,6.875,"Some topics were clear, others a bit confusing."
545,9,4,8,1,8,6,2,4,5.25,"Average experience, assignments were manageable."
918,8,3,8,9,9,1,6,1,5.625,The course was okay but could be improved in some areas.
652,8,3,4,8,3,2,2,3,4.125,Poor explanations and unclear assignments.
471,10,10,4,8,2,2,4,7,5.875,"Average experience, assignments were manageable."
323,6,8,7,5,4,1,9,3,5.375,"Average experience, assignments were manageable."
276,8,5,7,9,1,10,1,2,5.375,"Some topics were clear, others a bit confusing."
672,7,8,5,6,5,10,5,10,7.0,"Average experience, assignments were manageable."
337,10,7,6,8,9,5,1,1,5.875,"Some topics were clear, others a bit confusing."
468,7,7,8,4,2,1,5,10,5.5,"Some topics were clear, others a bit confusing."
380,8,8,4,8,2,4,9,2,5.625,"Some topics were clear, others a bit confusing."
755,9,8,7,2,9,6,3,7,6.375,The course was okay but could be improved in some areas.
267,8,9,4,4,8,4,8,1,5.75,"Average experience, assignments were manageable."
598,9,3,4,9,3,4,5,1,4.75,I struggled to understand the concepts.
128,6,2,6,1,9,3,9,2,4.75,I struggled to understand the concepts.
444,8,2,6,10,7,2,4,8,5.875,The course was okay but could be improved in some areas.
572,6,5,4,4,8,6,8,9,6.25,The course was okay but could be improved in some areas.
319,8,3,6,6,7,10,8,4,6.5,The course was okay but could be improved in some areas.
390,8,6,7,5,1,4,3,9,5.375,"Average experience, assignments were manageable."
176,10,2,6,7,4,10,1,3,5.375,"Average experience, assignments were manageable."
883,7,4,4,2,8,6,7,4,5.25,"Average experience, assignments were manageable."
831,5,2,8,3,5,10,7,7,5.875,"Some topics were clear, others a bit confusing."
220,10,5,8,7,9,7,2,7,6.875,"Average experience, assignments were manageable."
17,7,6,5,3,9,5,5,2,5.25,"Average experience, assignments were manageable."
938,10,10,6,5,2,9,9,9,7.5,"Some topics were clear, others a bit confusing."
651,8,7,6,3,9,10,6,1,6.25,The course was okay but could be improved in some areas.
953,5,10,8,10,6,4,6,4,6.625,The course was okay but could be improved in some areas.
902,5,8,6,10,4,5,5,9,6.5,The course was okay but could be improved in some areas.
167,7,7,5,8,6,9,9,8,7.375,"Average experience, assignments were manageable."
669,9,3,4,5,2,2,1,6,4.0,I struggled to understand the concepts.
859,8,3,5,9,10,3,1,6,5.625,"Some topics were clear, others a bit confusing."
120,8,4,7,5,4,4,10,6,6.0,The course was okay but could be improved in some areas.
293,10,4,7,1,6,7,7,4,5.75,The course was okay but could be improved in some areas.
789,10,2,8,7,9,8,1,4,6.125,The course was okay but could be improved in some areas.
182,5,2,7,2,3,6,1,9,4.375,I struggled to understand the concepts.
369,10,5,4,4,3,7,4,10,5.875,"Some topics were clear, others a bit confusing."
207,6,8,6,7,9,7,2,5,6.25,"Some topics were clear, others a bit confusing."
842,10,7,5,3,3,6,4,6,5.5,The course was okay but could be improved in some areas.
38,5,8,7,6,10,8,9,5,7.25,The course was okay but could be improved in some areas.
495,5,4,7,9,6,10,5,9,6.875,"Average experience, assignments were manageable."
942,10,6,8,3,7,8,4,5,6.375,"Average experience, assignments were manageable."
752,10,7,4,4,4,9,10,7,6.875,"Average experience, assignments were manageable."
940,7,3,6,9,10,8,3,5,6.375,"Average experience, assignments were manageable."
648,5,7,7,9,6,3,10,3,6.25,The course was okay but could be improved in some areas.
125,6,2,4,5,9,7,7,7,5.875,"Some topics were clear, others a bit confusing."
516,10,2,8,9,2,3,3,1,4.75,Poor explanations and unclear assignments.
963,9,6,4,5,3,3,6,6,5.25,The course was okay but could be improved in some areas.
215,5,6,6,2,1,9,5,8,5.25,The course was okay but could be improved in some areas.
823,7,5,8,3,4,3,1,10,5.125,The course was okay but could be improved in some areas.
840,5,7,5,6,9,9,10,6,7.125,The course was okay but could be improved in some areas.
429,8,3,5,1,8,1,8,9,5.375,The course was okay but could be improved in some areas.
109,6,3,5,6,1,6,6,10,5.375,The course was okay but could be improved in some areas.
795,6,9,8,4,2,6,10,6,6.375,"Average experience, assignments were manageable."
760,9,4,4,3,8,5,10,1,5.5,"Some topics were clear, others a bit confusing."
536,10,10,4,7,8,7,6,2,6.75,"Average experience, assignments were manageable."
888,6,6,5,2,3,6,6,3,4.625,The course was difficult to follow and needs improvement.
719,10,10,8,7,6,10,6,4,7.625,The course was okay but could be improved in some areas.
654,6,4,4,9,5,8,8,2,5.75,"Some topics were clear, others a bit confusing."
947,7,3,8,1,5,9,7,2,5.25,"Some topics were clear, others a bit confusing."
403,5,7,6,6,5,6,4,6,5.625,"Some topics were clear, others a bit confusing."
124,9,9,7,9,1,9,4,3,6.375,"Some topics were clear, others a bit confusing."
548,9,8,6,7,1,2,7,6,5.75,"Average experience, assignments were manageable."
880,7,3,6,3,5,3,3,10,5.0,"Some topics were clear, others a bit confusing."
939,10,10,7,4,1,2,3,9,5.75,"Some topics were clear, others a bit confusing."
166,6,10,4,4,4,8,4,6,5.75,The course was okay but could be improved in some areas.
885,5,6,7,7,2,2,5,7,5.125,"Average experience, assignments were manageable."
112,7,9,6,9,1,7,1,2,5.25,"Average experience, assignments were manageable."
811,8,8,8,6,1,4,9,1,5.625,"Some topics were clear, others a bit confusing."
213,10,8,4,10,1,5,6,2,5.75,The course was okay but could be improved in some areas.
375,10,4,4,1,3,4,7,9,5.25,"Some topics were clear, others a bit confusing."
897,6,7,4,1,9,8,8,7,6.25,"Average experience, assignments were manageable."
460,7,8,5,6,7,7,6,7,6.625,"Some topics were clear, others a bit confusing."
416,6,2,5,8,9,6,3,7,5.75,"Some topics were clear, others a bit confusing."
571,8,9,7,3,1,8,9,7,6.5,The course was okay but could be improved in some areas.
744,8,5,7,3,10,4,6,7,6.25,"Some topics were clear, others a bit confusing."
378,9,8,7,2,4,7,2,6,5.625,"Some topics were clear, others a bit confusing."
121,5,9,5,2,4,5,6,6,5.25,"Some topics were clear, others a bit confusing."
462,10,4,8,5,4,6,4,7,6.0,"Average experience, assignments were manageable."
777,8,6,4,6,4,7,10,1,5.75,The course was okay but could be improved in some areas.
845,5,10,6,8,4,4,4,5,5.75,"Average experience, assignments were manageable."
533,6,10,5,7,2,5,10,10,6.875,The course was okay but could be improved in some areas.
450,5,2,6,2,4,5,1,4,3.625,I struggled to understand the concepts.
717,6,2,4,6,6,2,6,9,5.125,The course was okay but could be improved in some areas.
469,10,8,6,1,3,5,8,10,6.375,The course was okay but could be improved in some areas.
670,7,7,8,1,6,1,2,1,4.125,The course was difficult to follow and needs improvement.
137,8,2,5,2,4,9,7,8,5.625,The course was okay but could be improved in some areas.
801,10,7,4,3,6,1,10,4,5.625,"Average experience, assignments were manageable."
315,5,10,5,10,8,4,8,4,6.75,The course was okay but could be improved in some areas.
153,7,7,5,3,8,9,8,9,7.0,The course was okay but could be improved in some areas.
190,8,6,7,5,6,4,3,8,5.875,The course was okay but could be improved in some areas.
22,7,9,4,1,2,8,10,4,5.625,The course was okay but could be improved in some areas.
949,9,8,7,1,7,6,9,4,6.375,The course was okay but could be improved in some areas.
523,10,2,6,9,7,5,10,9,7.25,"Average experience, assignments were manageable."
527,5,6,5,2,8,6,9,8,6.125,"Some topics were clear, others a bit confusing."
461,7,10,7,6,6,8,4,9,7.125,"Some topics were clear, others a bit confusing."
244,5,8,4,9,3,10,1,3,5.375,"Average experience, assignments were manageable."
363,9,3,8,10,2,7,5,1,5.625,"Some topics were clear, others a bit confusing."
610,8,10,6,8,2,1,5,1,5.125,"Some topics were clear, others a bit confusing."
381,9,2,8,8,1,9,1,2,5.0,"Some topics were clear, others a bit confusing."
954,8,8,6,3,9,5,7,2,6.0,"Average experience, assignments were manageable."
604,10,9,8,9,4,8,7,9,8.0,The course was excellent and very well structured.
414,10,6,4,8,2,9,9,3,6.375,"Some topics were clear, others a bit confusing."
151,8,7,5,10,8,3,8,6,6.875,"Average experience, assignments were manageable."
721,6,9,4,1,4,10,10,9,6.625,"Some topics were clear, others a bit confusing."
664,10,8,7,4,8,2,1,10,6.25,"Average experience, assignments were manageable."
956,7,2,6,5,2,3,8,7,5.0,The course was okay but could be improved in some areas.
747,5,3,5,6,5,10,3,6,5.375,"Some topics were clear, others a bit confusing."
438,9,6,5,9,2,3,9,3,5.75,"Some topics were clear, others a bit confusing."
975,5,10,4,8,7,6,8,3,6.375,The course was okay but could be improved in some areas.
277,5,6,8,7,2,7,1,10,5.75,"Some topics were clear, others a bit confusing."
312,7,2,7,6,6,3,7,2,5.0,The course was okay but could be improved in some areas.
565,10,9,7,10,4,8,5,4,7.125,"Average experience, assignments were manageable."
739,8,7,5,10,1,1,8,1,5.125,"Average experience, assignments were manageable."
584,8,8,5,8,6,6,9,4,6.75,"Some topics were clear, others a bit confusing."
894,6,3,5,4,7,1,5,5,4.5,Poor explanations and unclear assignments.
270,9,10,5,9,6,4,7,7,7.125,"Average experience, assignments were manageable."
966,7,4,5,3,1,8,10,2,5.0,"Average experience, assignments were manageable."
489,7,2,5,8,1,1,8,8,5.0,"Some topics were clear, others a bit confusing."
665,6,3,4,2,8,5,8,5,5.125,"Some topics were clear, others a bit confusing."
71,9,10,8,4,9,3,8,2,6.625,The course was okay but could be improved in some areas.
603,7,2,7,1,7,7,1,7,4.875,Poor explanations and unclear assignments.
196,8,10,8,10,6,7,7,7,7.875,The course was okay but could be improved in some areas.
804,9,3,7,6,10,7,9,7,7.25,The course was okay but could be improved in some areas.
837,5,10,4,1,4,8,9,1,5.25,"Some topics were clear, others a bit confusing."
530,6,5,4,9,1,2,3,6,4.5,I struggled to understand the concepts.
720,6,6,6,9,10,4,6,7,6.75,"Average experience, assignments were manageable."
272,5,4,6,4,4,7,7,9,5.75,"Average experience, assignments were manageable."
